"SEQN","Gender_discrete","Age_continuous","Race_discrete","Education_discrete","WTINT2YR_continuous","WTMEC2YR_continuous","SDMVPSU_continuous","SDMVSTRA_continuous"
86277,"Female",65,"Mexican American","Some college or AA degree",7392.299151,7178.22428,2,122
86278,"Male",22,"Other Hispanic","Less than 9th grade",44045.452245,49005.565618,1,132
86279,"Female",35,"Non-Hispanic White","Some college or AA degree",38512.163171,39488.27774,1,131
86280,"Male",80,"Non-Hispanic White","College graduate or above",30571.273352,34680.418998,1,130
86281,"Male",26,"Other Race - Including Multi-Racial","College graduate or above",20577.77898,19915.553745,2,121
86282,"Female",51,"Other Race - Including Multi-Racial","Some college or AA degree",21914.036865,23219.518074,2,122
86283,"Female",11,"Other Race - Including Multi-Racial",NA,14891.198923,15169.248214,2,122
86284,"Male",46,"Mexican American","Some college or AA degree",35372.791829,39757.552328,2,127
86285,"Male",18,"Mexican American",NA,18791.011654,18612.96153,1,127
86286,"Female",60,"Non-Hispanic Black","Some college or AA degree",21066.373314,21795.40589,1,132
86287,"Female",18,"Non-Hispanic Black",NA,11552.589593,11288.49021,2,119
86288,"Female",17,"Non-Hispanic White",NA,72255.524793,74378.891709,2,120
86289,"Female",7,"Other Race - Including Multi-Racial",NA,15130.922666,17341.033674,2,121
86290,"Female",29,"Non-Hispanic White","Some college or AA degree",71430.375915,72127.259311,1,126
86291,"Female",60,"Non-Hispanic White","College graduate or above",102192.105557,100398.53141,2,131
86292,"Male",16,"Non-Hispanic White",NA,29599.3979,30910.679793,2,130
86293,"Female",40,"Mexican American","College graduate or above",21208.387626,24119.851824,2,130
86294,"Male",10,"Non-Hispanic Black",NA,13486.719141,13951.958708,2,131
86295,"Male",1,"Non-Hispanic White",NA,19714.564082,0,1,130
86296,"Male",40,"Non-Hispanic White","Less than 9th grade",144416.962207,145628.596487,2,125
86297,"Female",35,"Non-Hispanic White","Some college or AA degree",51930.025299,53363.748451,1,130
86298,"Female",50,"Non-Hispanic White","Some college or AA degree",175862.391037,182355.646731,1,126
86299,"Male",41,"Mexican American","Less than 9th grade",38173.249812,38773.485362,1,129
86300,"Female",59,"Non-Hispanic Black","High school graduate/GED or equivalent",25772.41075,26172.194574,1,123
86301,"Male",26,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",28601.271031,28599.647244,2,130
86302,"Female",9,"Mexican American",NA,10810.764172,10723.808638,1,128
86303,"Female",1,"Non-Hispanic White",NA,21042.080006,21180.348127,2,131
86304,"Female",8,"Non-Hispanic White",NA,35393.349558,40106.002953,1,131
86305,"Female",8,"Other Race - Including Multi-Racial",NA,16385.086195,18442.654964,2,129
86306,"Male",6,"Non-Hispanic Black",NA,8589.90494,8872.683995,1,123
86307,"Male",0,"Non-Hispanic White",NA,14574.211466,14301.46333,1,126
86308,"Female",22,"Other Hispanic","9-11th grade (Includes 12th grade with no diploma)",24043.2177,27277.758336,1,126
86309,"Male",15,"Mexican American",NA,16261.628888,15774.571914,1,121
86310,"Female",80,"Non-Hispanic Black","College graduate or above",16942.984599,0,2,119
86311,"Female",18,"Mexican American",NA,12686.105141,12692.669963,1,120
86312,"Male",58,"Non-Hispanic Black","College graduate or above",15697.627408,15652.041395,1,123
86313,"Male",10,"Non-Hispanic White",NA,46820.012376,46716.886585,2,125
86314,"Male",11,"Non-Hispanic White",NA,54848.891904,54607.740198,2,128
86315,"Female",80,"Mexican American","Less than 9th grade",14026.929433,13372.387646,1,128
86316,"Female",12,"Mexican American",NA,18629.19616,20874.610514,1,122
86317,"Male",80,"Non-Hispanic White","Less than 9th grade",36527.136094,0,1,133
86318,"Male",63,"Non-Hispanic White","College graduate or above",34150.426133,46882.488409,1,133
86319,"Female",55,"Non-Hispanic White","Some college or AA degree",94016.54713,94677.38508,1,125
86320,"Male",80,"Other Hispanic","Less than 9th grade",9407.598902,9508.886305,1,127
86321,"Female",25,"Other Race - Including Multi-Racial","Some college or AA degree",20092.973368,20313.581053,2,124
86322,"Female",39,"Other Hispanic","Some college or AA degree",21990.382424,23002.596593,2,120
86323,"Female",24,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",22264.06901,23567.386917,1,121
86324,"Female",29,"Non-Hispanic White","College graduate or above",76561.642643,77479.222104,1,130
86325,"Male",60,"Other Hispanic","College graduate or above",8225.112294,8513.230786,2,119
86326,"Female",69,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",35931.021159,41101.720908,2,132
86327,"Female",12,"Non-Hispanic White",NA,45398.515172,62815.881168,1,131
86328,"Male",75,"Non-Hispanic Black","College graduate or above",11575.727061,16421.027783,1,133
86329,"Female",18,"Other Hispanic",NA,16104.20833,16377.976709,1,124
86330,"Female",5,"Non-Hispanic Black",NA,11569.512438,12026.020992,2,129
86331,"Female",1,"Mexican American",NA,8525.798049,8932.274741,1,121
86332,"Female",34,"Non-Hispanic Black","Some college or AA degree",22489.813027,22482.964386,2,126
86333,"Male",23,"Other Race - Including Multi-Racial","College graduate or above",16953.911833,18514.883991,2,133
86334,"Male",72,"Other Race - Including Multi-Racial","Some college or AA degree",17442.134838,18262.647572,2,130
86335,"Male",60,"Other Hispanic","Some college or AA degree",8206.20149,8037.980511,1,124
86336,"Female",62,"Non-Hispanic White","Some college or AA degree",34134.470101,33815.795957,1,131
86337,"Male",11,"Non-Hispanic White",NA,24093.281244,24096.717719,1,120
86338,"Male",55,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",16753.798695,16604.281793,1,121
86339,"Female",80,"Other Race - Including Multi-Racial","Less than 9th grade",25536.603429,27526.278036,2,122
86340,"Female",10,"Other Hispanic",NA,9134.83322,9143.454762,2,129
86341,"Female",3,"Other Hispanic",NA,11788.113115,12350.124225,1,121
86342,"Male",31,"Non-Hispanic White","High school graduate/GED or equivalent",29057.327958,29890.378965,2,126
86343,"Male",54,"Other Race - Including Multi-Racial","High school graduate/GED or equivalent",16041.924392,16598.29782,2,129
86344,"Female",7,"Non-Hispanic Black",NA,17990.108733,20725.836856,2,129
86345,"Female",14,"Other Race - Including Multi-Racial",NA,24836.076548,30689.061471,1,127
86346,"Female",0,"Non-Hispanic Black",NA,5495.950889,5763.577471,2,131
86347,"Male",54,"Non-Hispanic White","High school graduate/GED or equivalent",27324.449188,29622.780837,2,132
86348,"Male",35,"Other Race - Including Multi-Racial","College graduate or above",25455.929685,26465.403227,1,129
86349,"Male",71,"Other Race - Including Multi-Racial","High school graduate/GED or equivalent",19508.930435,19359.586207,1,129
86350,"Female",49,"Mexican American","High school graduate/GED or equivalent",33426.76683,34976.454459,2,127
86351,"Male",53,"Non-Hispanic White","High school graduate/GED or equivalent",96816.143819,99287.934073,1,131
86352,"Female",31,"Non-Hispanic Black","College graduate or above",23499.841804,23544.538428,2,129
86353,"Female",7,"Other Race - Including Multi-Racial",NA,34737.917159,34528.284008,1,131
86354,"Male",37,"Mexican American","High school graduate/GED or equivalent",25064.107699,26055.544114,1,120
86355,"Female",7,"Other Race - Including Multi-Racial",NA,15024.806074,15805.863971,1,126
86356,"Female",49,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",15415.161445,16341.919117,1,133
86357,"Female",75,"Other Hispanic","College graduate or above",10254.081934,10475.60658,2,125
86358,"Female",62,"Non-Hispanic White","High school graduate/GED or equivalent",159926.578514,157119.706349,1,120
86359,"Male",37,"Non-Hispanic White","High school graduate/GED or equivalent",99111.959959,102178.453475,1,130
86360,"Male",50,"Other Hispanic","9-11th grade (Includes 12th grade with no diploma)",25056.11811,25450.100098,1,125
86361,"Female",76,"Non-Hispanic White","Some college or AA degree",56260.232421,58731.531751,1,130
86362,"Male",58,"Mexican American","Some college or AA degree",26883.989504,30079.200754,1,122
86363,"Male",9,"Mexican American",NA,13723.672532,14427.520771,1,120
86364,"Female",42,"Non-Hispanic White","High school graduate/GED or equivalent",114675.721601,119923.095435,1,122
86365,"Male",68,"Mexican American","Less than 9th grade",9594.519522,9267.012544,1,121
86366,"Female",53,"Non-Hispanic White","College graduate or above",165617.588512,171732.581851,2,127
86367,"Male",48,"Mexican American","Some college or AA degree",31461.400481,31180.627671,1,130
86368,"Male",52,"Non-Hispanic Black","High school graduate/GED or equivalent",27970.614929,28717.277878,1,129
86369,"Male",14,"Mexican American",NA,20766.170079,27136.580979,1,129
